Path,SteerAngle,Throttle,Brake,Speed,X_Position,Y_Position,Pitch,Yaw,Roll
/Users/markadan/Documents/Robotics/RoboND-Rover-Project-master/my_dataset/IMG/robocam_2017_05_30_18_47_44_939.jpg,0,1,0,0.4702613,99.76245,85.72914,1.08211,56.62796,0.0002167637
/Users/markadan/Documents/Robotics/RoboND-Rover-Project-master/my_dataset/IMG/robocam_2017_05_30_18_47_45_006.jpg,0,1,0,0.5304059,99.78038,85.7561,1.118578,56.60434,-0.001106621
/Users/markadan/Documents/Robotics/RoboND-Rover-Project-master/my_dataset/IMG/robocam_2017_05_30_18_47_45_073.jpg,0,1,0,0.5809562,99.80697,85.79621,1.215519,56.78425,-0.002464705
/Users/markadan/Documents/Robotics/RoboND-Rover-Project-master/my_dataset/IMG/robocam_2017_05_30_18_47_45_140.jpg,0,1,0,0.6207148,99.82821,85.82827,1.242678,56.77746,-0.002462355
/Users/markadan/Documents/Robotics/RoboND-Rover-Project-master/my_dataset/IMG/robocam_2017_05_30_18_47_45_207.jpg,0,1,0,0.6838521,99.8586,85.87449,1.219302,56.87291,-0.001017528
/Users/markadan/Documents/Robotics/RoboND-Rover-Project-master/my_dataset/IMG/robocam_2017_05_30_18_47_45_273.jpg,0,1,0,0.7388344,99.88337,85.91209,1.194628,56.84416,-0.0005037559
/Users/markadan/Documents/Robotics/RoboND-Rover-Project-master/my_dataset/IMG/robocam_2017_05_30_18_47_45_339.jpg,0,1,0,0.7862559,99.90984,85.95221,1.190726,56.72618,2.148238E-05
/Users/markadan/Documents/Robotics/RoboND-Rover-Project-master/my_dataset/IMG/robocam_2017_05_30_18_47_45_406.jpg,0,1,0,0.859913,99.93836,85.99536,1.208838,56.69054,-0.0008587939
/Users/markadan/Documents/Robotics/RoboND-Rover-Project-master/my_dataset/IMG/robocam_2017_05_30_18_47_45_473.jpg,0,1,0,0.9071234,99.97883,86.05653,1.221723,56.65662,-0.0005305542
/Users/markadan/Documents/Robotics/RoboND-Rover-Project-master/my_dataset/IMG/robocam_2017_05_30_18_47_45_540.jpg,0,1,0,0.958215,100.0112,86.1054,1.227709,56.6584,-0.001089105
/Users/markadan/Documents/Robotics/RoboND-Rover-Project-master/my_dataset/IMG/robocam_2017_05_30_18_47_45_607.jpg,0,1,0,1.023373,100.0567,86.17404,1.217661,56.64794,-0.001018222
/Users/markadan/Documents/Robotics/RoboND-Rover-Project-master/my_dataset/IMG/robocam_2017_05_30_18_47_45_673.jpg,0,1,0,1.067557,100.0927,86.22822,1.216382,56.61507,-0.0002418859
/Users/markadan/Documents/Robotics/RoboND-Rover-Project-master/my_dataset/IMG/robocam_2017_05_30_18_47_45_740.jpg,0,1,0,1.113659,100.1302,86.28474,1.222222,56.60535,-0.0007814073
/Users/markadan/Documents/Robotics/RoboND-Rover-Project-master/my_dataset/IMG/robocam_2017_05_30_18_47_45_807.jpg,0,1,0,1.174265,100.1827,86.36373,1.227475,56.57209,-0.0005545999
/Users/markadan/Documents/Robotics/RoboND-Rover-Project-master/my_dataset/IMG/robocam_2017_05_30_18_47_45_873.jpg,0,1,0,1.224601,100.2239,86.4257,1.228981,56.54742,-0.0008917582
/Users/markadan/Documents/Robotics/RoboND-Rover-Project-master/my_dataset/IMG/robocam_2017_05_30_18_47_45_939.jpg,0,1,0,1.273644,100.2668,86.49012,1.233115,56.51644,-0.0008467661
/Users/markadan/Documents/Robotics/RoboND-Rover-Project-master/my_dataset/IMG/robocam_2017_05_30_18_47_46_006.jpg,0,1,0,1.334966,100.3113,86.55685,1.236794,56.49259,-0.0008885317
/Users/markadan/Documents/Robotics/RoboND-Rover-Project-master/my_dataset/IMG/robocam_2017_05_30_18_47_46_073.jpg,0,1,0,1.382244,100.3732,86.6495,1.242575,56.4626,-0.0008321713
/Users/markadan/Documents/Robotics/RoboND-Rover-Project-master/my_dataset/IMG/robocam_2017_05_30_18_47_46_140.jpg,0,1,0,1.429464,100.4215,86.7217,1.247684,56.44752,-0.0009363315
/Users/markadan/Documents/Robotics/RoboND-Rover-Project-master/my_dataset/IMG/robocam_2017_05_30_18_47_46_206.jpg,0,1,0,1.493162,100.4713,86.79621,1.250581,56.43528,-0.0009601637
/Users/markadan/Documents/Robotics/RoboND-Rover-Project-master/my_dataset/IMG/robocam_2017_05_30_18_47_46_273.jpg,0,1,0,1.53891,100.5402,86.89919,1.255487,56.41895,-0.0009429259
/Users/markadan/Documents/Robotics/RoboND-Rover-Project-master/my_dataset/IMG/robocam_2017_05_30_18_47_46_340.jpg,0,1,0,1.600838,100.5937,86.97912,1.259607,56.40963,-0.001003213
/Users/markadan/Documents/Robotics/RoboND-Rover-Project-master/my_dataset/IMG/robocam_2017_05_30_18_47_46_407.jpg,0,1,0,1.647242,100.6675,87.08929,1.266575,56.39242,-0.001007512
/Users/markadan/Documents/Robotics/RoboND-Rover-Project-master/my_dataset/IMG/robocam_2017_05_30_18_47_46_473.jpg,0,1,0,1.693234,100.7247,87.17452,1.268421,56.38248,-0.001005778
/Users/markadan/Documents/Robotics/RoboND-Rover-Project-master/my_dataset/IMG/robocam_2017_05_30_18_47_46_539.jpg,0,1,0,1.739925,100.7834,87.2621,1.274257,56.37122,-0.001034843
/Users/markadan/Documents/Robotics/RoboND-Rover-Project-master/my_dataset/IMG/robocam_2017_05_30_18_47_46_606.jpg,0,1,0,1.800979,100.8437,87.35194,1.27937,56.35985,-0.001057716
/Users/markadan/Documents/Robotics/RoboND-Rover-Project-master/my_dataset/IMG/robocam_2017_05_30_18_47_46_673.jpg,0,1,0,1.84647,100.9264,87.47518,1.283413,56.34577,-0.001070901
/Users/markadan/Documents/Robotics/RoboND-Rover-Project-master/my_dataset/IMG/robocam_2017_05_30_18_47_46_739.jpg,-1.484908,1,0,1.891806,100.9906,87.57004,1.287238,56.26429,-0.0005410021
/Users/markadan/Documents/Robotics/RoboND-Rover-Project-master/my_dataset/IMG/robocam_2017_05_30_18_47_46_806.jpg,-4.500315,1,0,1.951727,101.0574,87.66614,1.282688,55.94111,0.000429369
/Users/markadan/Documents/Robotics/RoboND-Rover-Project-master/my_dataset/IMG/robocam_2017_05_30_18_47_46_873.jpg,-7.468694,1,0,1.994445,101.1517,87.79563,1.281236,55.00541,-0.0004748435
/Users/markadan/Documents/Robotics/RoboND-Rover-Project-master/my_dataset/IMG/robocam_2017_05_30_18_47_46_940.jpg,-4.438439,1,0,2.038694,101.2254,87.89463,1.286938,54.31482,0.002035883
/Users/markadan/Documents/Robotics/RoboND-Rover-Project-master/my_dataset/IMG/robocam_2017_05_30_18_47_47_006.jpg,-1.431044,1,0,2.099283,101.3007,87.99576,1.29572,53.88361,0.0006093767
/Users/markadan/Documents/Robotics/RoboND-Rover-Project-master/my_dataset/IMG/robocam_2017_05_30_18_47_47_073.jpg,0,1,0,2.142928,101.4031,88.13441,1.311611,53.74789,-0.001005956
/Users/markadan/Documents/Robotics/RoboND-Rover-Project-master/my_dataset/IMG/robocam_2017_05_30_18_47_47_140.jpg,0,1,0,2.186794,101.4817,88.24073,1.311721,53.72379,-0.001194129
